"Region","Name","Mean","Lower bound","Upper bound"
"Atlantic","Acropora",53,45.22,60.88
"Atlantic","Acropora cervicornis",62.29,51.16,73.84
"Atlantic","Acropora palmata",53.01,40.58,65.54
"Atlantic","Acropora prolifera",34.74,33.15,36.4
"Atlantic","Agaricia",4.94,4.42,5.48
"Atlantic","Agaricia agaricites",8.84,7.64,10.04
"Atlantic","Agaricia fragilis",3.32,2.86,4.05
"Atlantic","Agaricia grahamae",2.69,2.32,3.14
"Atlantic","Agaricia humilis",8.84,7.66,10.07
"Atlantic","Agaricia lamarcki",1.98,1.78,2.31
"Atlantic","Agaricia tenuifolia",1.19,1.01,1.39
"Atlantic","Agaricia undata",3.44,2.92,4.15
"Atlantic","Bare Rock",0,0,0
"Atlantic","Biofilmed Rock",0,0,0
"Atlantic","Blue-pink CCA",0.38,0.29,0.47
"Atlantic","Branching pink CCA",0.38,0.29,0.47
"Atlantic","Branching pink CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","Bright red CCA",0.38,0.29,0.47
"Atlantic","Brown CCA on dead columnar coral",0.38,0.29,0.47
"Atlantic","Brown CCA on dead encrusting coral",0.38,0.29,0.47
"Atlantic","Brown CCA on dead laminar coral",0.38,0.29,0.47
"Atlantic","Brown CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","CCA (crustose coralline algae)",0.38,0.29,0.47
"Atlantic","CCA + Dictyota",0.38,0.29,0.47
"Atlantic","CCA + Dictyota + Seds",0.38,0.29,0.47
"Atlantic","CCA + Hypnea",0.38,0.29,0.47
"Atlantic","CCA + Hypnea + Seds",0.38,0.29,0.47
"Atlantic","CCA + Jania",0.38,0.29,0.47
"Atlantic","CCA + Jania + Seds",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Dictyota",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Hypnea",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Jania",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Red Turf",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Seds",0.38,0.29,0.47
"Atlantic","CCA + Palmophyllum + Turf",0.38,0.29,0.47
"Atlantic","CCA + Red Turf",0.38,0.29,0.47
"Atlantic","CCA + Red Turf + Seds",0.38,0.29,0.47
"Atlantic","CCA + Sediment",0.38,0.29,0.47
"Atlantic","CCA + Turf",0.38,0.29,0.47
"Atlantic","CCA + Turf + Dictyota",0.38,0.29,0.47
"Atlantic","CCA + Turf + Dictyota + Sediment",0.38,0.29,0.47
"Atlantic","CCA + Turf + Seds",0.38,0.29,0.47
"Atlantic","CCA growing on hard substrate",0.38,0.29,0.47
"Atlantic","CCA growing on rubble",0.38,0.29,0.47
"Atlantic","CCA on dead branching coral",0.38,0.29,0.47
"Atlantic","CCA on dead columnar coral",0.38,0.29,0.47
"Atlantic","CCA on dead encrusting coral",0.38,0.29,0.47
"Atlantic","CCA on dead laminar coral",0.38,0.29,0.47
"Atlantic","CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","CCA on other",0.38,0.29,0.47
"Atlantic","CCA white to greenish",0.38,0.29,0.47
"Atlantic","CCA/Bare Space",0.38,0.29,0.47
"Atlantic","CCA: On dead coral",0.38,0.29,0.47
"Atlantic","CCA_encrusting",0.38,0.29,0.47
"Atlantic","Cladocora arbuscula",31.58,25.63,38.33
"Atlantic","Cliona",0,0,0
"Atlantic","Cliona californiana",0,0,0
"Atlantic","Cliona celata",0,0,0
"Atlantic","Cliona delitrix",0,0,0
"Atlantic","Cliona sp.",0,0,0
"Atlantic","Cliona spp.",0,0,0
"Atlantic","Clionid spp.",0,0,0
"Atlantic","Colpophyllia natans",7.35,6.65,8.08
"Atlantic","Coral:Rock",0,0,0
"Atlantic","CRED-CCA growing on hard substrate",0.38,0.29,0.47
"Atlantic","Dark yellow CCA",0.38,0.29,0.47
"Atlantic","Dark yellow CCA on dead collumnar Coral",0.38,0.29,0.47
"Atlantic","Dark yellow CCA on dead encrustingCoral",0.38,0.29,0.47
"Atlantic","Dark yellow CCA on dead laminar Coral",0.38,0.29,0.47
"Atlantic","Dark yellow CCA on dead massive Coral",0.38,0.29,0.47
"Atlantic","Dead Articulated CCA",0.38,0.29,0.47
"Atlantic","Deep-pink CCA",0.38,0.29,0.47
"Atlantic","Deep pink CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","Dendrogyra cylindrus",3.83,3.73,3.93
"Atlantic","Dichocoenia stokesi",6.66,5.53,7.8
"Atlantic","Dictyota + CCA",0.38,0.29,0.47
"Atlantic","Diploria labyrinthiformis",9.57,8.74,10.42
"Atlantic","EAM: Rock or Substrate",0,0,0
"Atlantic","Endolithic Algae on Rock",0,0,0
"Atlantic","Eusmilia fastigiata",2.82,2.45,3.19
"Atlantic","Excavating Bite Scar",0,0,0
"Atlantic","Exposed Rock",0,0,0
"Atlantic","Favia",9.68,9.57,9.79
"Atlantic","Favia fragum",9.68,9.57,9.79
"Atlantic","Foliose CCA",0.38,0.29,0.47
"Atlantic","Foliose CCA on Rubble",0.38,0.29,0.47
"Atlantic","Green Rock",0,0,0
"Atlantic","Hard coral",6.32,5.3,7.37
"Atlantic","Hard Coral (branching)",7.78,5.88,10.02
"Atlantic","Hard Coral (encrusting)",1.88,1.58,2.23
"Atlantic","Hard Coral (foliose)",2.81,2.42,3.26
"Atlantic","Hard Coral (massive)",11.6,10.03,13.2
"Atlantic","Helioseris cucullata",2.22,1.94,2.61
"Atlantic","Isophyllia",7.9,7.29,8.49
"Atlantic","Isophyllia rigida",5.83,5.34,6.33
"Atlantic","Isophyllia sinuosa",9.67,9.03,10.33
"Atlantic","Lightly Biofilmed Rock",0,0,0
"Atlantic","Macroalgae: Laminate: red: peysonnelia",0.38,0.29,0.47
"Atlantic","Madracis",14.98,12.6,17.52
"Atlantic","Madracis auretenra",11.83,10.71,12.96
"Atlantic","Madracis carmabi",15.22,13.39,17.14
"Atlantic","Madracis decactis",12.3,8.13,16.49
"Atlantic","Madracis formosa",11.66,10.25,13.13
"Atlantic","Madracis pharensis",8.84,7.65,10.05
"Atlantic","Madracis senaria",8.81,7.6,10.03
"Atlantic","Manicina areolata",16.34,15.86,16.97
"Atlantic","Meandrina",2.64,2.28,3
"Atlantic","Meandrina meandrites",2.97,2.58,3.35
"Atlantic","Millepora",6.75,5.95,7.56
"Atlantic","Millepora alcicornis",2.33,1.83,2.83
"Atlantic","Millepora complanata",7.43,5.12,9.75
"Atlantic","Millepora squarrosa",8.41,7.44,9.77
"Atlantic","Montastraea",11.67,9.63,13.74
"Atlantic","Montastraea cavernosa",11.69,9.61,13.75
"Atlantic","Mussa angulosa",9.98,9.73,10.23
"Atlantic","Mycetophyllia",3.97,3.54,4.43
"Atlantic","Mycetophyllia aliciae",2.7,2.37,3.14
"Atlantic","Mycetophyllia ferox",2.07,1.86,2.34
"Atlantic","Mycetophyllia lamarckana",9.57,8.86,10.31
"Atlantic","Non CCA Crustose Algae",0.38,0.29,0.47
"Atlantic","Oculina",6.74,5.48,8.15
"Atlantic","Oculina diffusa",6.76,5.49,8.14
"Atlantic","Orbicella",21.55,19.42,23.7
"Atlantic","Orbicella annularis",28.87,25.4,32.35
"Atlantic","Orbicella faveolata",22.71,18.82,26.6
"Atlantic","Orbicella franksi",12.95,12.65,13.25
"Atlantic","Other",0.38,0.29,0.47
"Atlantic","Pale Red CCA",0.38,0.29,0.47
"Atlantic","Pale red CCA on dead encrusting coralal",0.38,0.29,0.47
"Atlantic","Pale red CCA on dead laminar coral",0.38,0.29,0.47
"Atlantic","Pale red CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","Pale yellow branching CCA",0.38,0.29,0.47
"Atlantic","Pale yellow CCA",0.38,0.29,0.47
"Atlantic","Pale yellow CCA on dead branching coral",0.38,0.29,0.47
"Atlantic","Pale yellow CCA on dead columnar coral",0.38,0.29,0.47
"Atlantic","Pale yellow CCA on dead encrusting coral",0.38,0.29,0.47
"Atlantic","Pale yellow CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","Pebble CCA",0.38,0.29,0.47
"Atlantic","Pey/CCA",0.38,0.29,0.47
"Atlantic","Pink branching CCA on dead branching coral",0.38,0.29,0.47
"Atlantic","Pink branching CCA on dead tabular coral",0.38,0.29,0.47
"Atlantic","Pink CCA",0.38,0.29,0.47
"Atlantic","Pink CCA on dead branching coral",0.38,0.29,0.47
"Atlantic","Pink CCA on dead columnar coral",0.38,0.29,0.47
"Atlantic","Pink CCA on dead encrusting coral",0.38,0.29,0.47
"Atlantic","Pink CCA on dead laminar coral",0.38,0.29,0.47
"Atlantic","Pink CCA on dead massive coral",0.38,0.29,0.47
"Atlantic","Porites",7.12,6.31,7.95
"Atlantic","Porites astreoides",10.45,8.47,12.44
